script,final_path,family,base_score,final_score,tier,total_refs,workflow_refs,test_refs,docs_refs,recent_commits_180d,last_days
docs_lint.py,scripts/governance/docs_lint.py,lint,9,9,HighTier,15,2,9,4,1,7
manage_baselines.py,scripts/benchmarks/manage_baselines.py,baselines,9,9,HighTier,13,3,10,0,4,10
check_memory_determinism.py,scripts/benchmarks/check_memory_determinism.py,memory_determinism,8,8,HighTier,10,2,7,0,2,10
check_volatility_boundaries.py,scripts/benchmarks/check_volatility_boundaries.py,volatility_boundaries,8,8,HighTier,21,2,2,16,1,18
compare_memory_determinism.py,scripts/benchmarks/compare_memory_determinism.py,memory_determinism,7,8,HighTier,8,2,5,0,1,10
audit_registry.py,scripts/governance/audit_registry.py,registry,7,7,HighTier,19,1,0,18,4,2
check_explorer_ingestion.py,scripts/explorer/check_explorer_ingestion.py,explorer_ingestion,7,7,HighTier,6,2,4,0,1,10
check_lab_guards.py,scripts/benchmarks/check_lab_guards.py,lab_guards,7,7,HighTier,7,2,4,1,3,10
check_offline_matrix.py,scripts/benchmarks/check_offline_matrix.py,offline_matrix,7,7,HighTier,7,2,4,1,1,7
check_retention_policy.py,scripts/governance/check_retention_policy.py,retention_policy,7,7,HighTier,9,2,3,4,1,7
determinism_control_runner.py,scripts/benchmarks/determinism_control_runner.py,determinism_control,7,7,HighTier,8,1,5,0,2,11
retention_plan.py,scripts/governance/retention_plan.py,retention_plan,7,7,HighTier,9,2,3,4,1,7
run_determinism_harness.py,scripts/benchmarks/run_determinism_harness.py,determinism_harness,7,7,HighTier,11,1,3,2,9,3
run_kernel_fire_drill.py,scripts/governance/run_kernel_fire_drill.py,kernel_fire,7,7,HighTier,9,1,2,6,1,8
run_odr_live_role_matrix.py,scripts/odr/run_odr_live_role_matrix.py,odr_live,7,7,HighTier,13,0,3,1,3,4
backup_gitea.sh,scripts/gitea/backup_gitea.sh,gitea,3,3,LowTier,1,0,0,1,2,22
check_live_1000_consistency.py,scripts/streaming/check_live_1000_consistency.py,live_1000,3,3,LowTier,1,0,1,0,1,0
check_microservices_pilot_stability.py,scripts/acceptance/check_microservices_pilot_stability.py,microservices_pilot,2,3,LowTier,0,0,0,0,1,16
churn_report.py,scripts/ops/churn_report.py,churn_report,3,3,LowTier,1,0,0,1,2,20
decide_microservices_pilot.py,scripts/acceptance/decide_microservices_pilot.py,microservices_pilot,4,3,LowTier,2,0,1,0,1,16
generate_odr_calibration_bundle.py,scripts/odr/generate_odr_calibration_bundle.py,odr_calibration,3,3,LowTier,1,0,1,0,2,4
live_consistency_common.py,scripts/streaming/live_consistency_common.py,live_consistency,2,3,LowTier,0,0,0,0,1,0
play_textmystery.py,scripts/extensions/play_textmystery.py,textmystery,3,3,LowTier,1,0,0,0,2,2
real_service_stress.py,scripts/streaming/real_service_stress.py,real_service,3,3,LowTier,1,0,0,0,1,18
restore_gitea.sh,scripts/gitea/restore_gitea.sh,gitea,3,3,LowTier,1,0,0,1,1,22
run_live_1000_consistency.py,scripts/streaming/run_live_1000_consistency.py,live_1000,3,3,LowTier,1,0,0,0,2,0
run_phase4_benchmark.py,scripts/benchmarks/run_phase4_benchmark.py,phase4_benchmark,3,3,LowTier,1,0,1,0,1,14
run_provider_scenario_direct.py,scripts/streaming/run_provider_scenario_direct.py,provider_scenario,3,3,LowTier,1,0,0,1,2,3
score_odr_calibration.py,scripts/odr/score_odr_calibration.py,odr_calibration,3,3,LowTier,1,0,1,0,2,4
configure_gitea_privacy.sh,scripts/gitea/configure_gitea_privacy.sh,gitea_privacy,2,2,LowTier,0,0,0,0,1,22
find_run.py,scripts/ops/find_run.py,find_run,2,2,LowTier,0,0,0,0,1,14
list_real_provider_models.py,scripts/providers/list_real_provider_models.py,real_provider,2,2,LowTier,0,0,0,0,1,3
regenerate_canonical_roles.py,scripts/ops/regenerate_canonical_roles.py,regenerate_canonical,2,2,LowTier,0,0,0,0,1,17
run_operator_canary.py,scripts/ops/run_operator_canary.py,operator_canary,2,2,LowTier,0,0,0,0,1,12
setup_windows_backup.ps1,scripts/ops/setup_windows_backup.ps1,windows_backup,2,2,LowTier,0,0,0,0,3,22
update_benchmark_manifest.py,scripts/benchmarks/update_benchmark_manifest.py,benchmark_manifest,2,2,LowTier,0,0,0,0,1,16
validate_benchmark_task_bank.py,scripts/benchmarks/validate_benchmark_task_bank.py,benchmark_task,2,2,LowTier,0,0,0,0,1,16
analyze_vram_fragmentation.py,scripts/quant/analyze_vram_fragmentation.py,vram_fragmentation,6,6,MidTier,4,1,3,0,1,10
build_context_sweep_rollup.py,scripts/context/build_context_sweep_rollup.py,context_sweep,5,6,MidTier,3,2,1,0,1,10
build_explorer_check_summary.py,scripts/explorer/build_explorer_check_summary.py,explorer_check,6,6,MidTier,4,2,2,0,2,10
check_benchmark_scoring_gate.py,scripts/benchmarks/check_benchmark_scoring_gate.py,benchmark_scoring,6,6,MidTier,4,1,3,0,1,16
check_compat_fallback_expiry.py,scripts/security/check_compat_fallback_expiry.py,compat_fallback,6,6,MidTier,7,0,3,4,1,1
check_context_profile_policy.py,scripts/context/check_context_profile_policy.py,context_profile,6,6,MidTier,5,1,4,0,1,10
check_context_rollup_contract.py,scripts/context/check_context_rollup_contract.py,context_rollup,6,6,MidTier,5,2,3,0,2,10
check_context_sweep_outputs.py,scripts/context/check_context_sweep_outputs.py,context_sweep,6,6,MidTier,4,2,2,0,1,10
check_dependency_direction.py,scripts/governance/check_dependency_direction.py,dependency_direction,9,6,MidTier,29,2,4,22,3,7
check_explorer_schema_contracts.py,scripts/explorer/check_explorer_schema_contracts.py,explorer_schema,6,6,MidTier,5,2,2,1,3,10
check_orchestration_overhead_consistency.py,scripts/benchmarks/check_orchestration_overhead_consistency.py,orchestration_overhead,6,6,MidTier,4,1,3,0,1,10
check_quant_sweep_kpis.py,scripts/quant/check_quant_sweep_kpis.py,quant_sweep,8,6,MidTier,8,3,4,1,1,11
check_sidecar_parse_policy.py,scripts/quant/check_sidecar_parse_policy.py,sidecar_parse,6,6,MidTier,5,1,3,1,1,10
check_telemetry_artifact_fields.py,scripts/security/check_telemetry_artifact_fields.py,telemetry_artifact,6,6,MidTier,4,1,3,0,1,10
check_valid_run_policy.py,scripts/quant/check_valid_run_policy.py,valid_run,6,6,MidTier,4,1,3,0,1,10
cleanup_context_sweep_artifacts.py,scripts/context/cleanup_context_sweep_artifacts.py,context_sweep,7,6,MidTier,5,3,2,0,2,10
compare_replay_artifacts.py,scripts/replay/compare_replay_artifacts.py,replay_artifacts,6,6,MidTier,5,1,4,0,1,7
context_ceiling_finder.py,scripts/context/context_ceiling_finder.py,context_ceiling,6,6,MidTier,5,1,1,2,5,3
dependency_policy.py,scripts/governance/dependency_policy.py,dependency_policy,3,6,MidTier,1,0,0,1,1,7
execute_compat_fallback_removal.py,scripts/security/execute_compat_fallback_removal.py,compat_fallback,5,6,MidTier,3,0,2,1,1,1
export_dependency_graph.py,scripts/governance/export_dependency_graph.py,dependency_graph,5,6,MidTier,5,0,1,4,2,7
gen_digest_vectors.py,scripts/governance/gen_digest_vectors.py,digest_vectors,6,6,MidTier,7,1,0,6,1,8
generate_odr_provenance.py,scripts/odr/generate_odr_provenance.py,odr_provenance,6,6,MidTier,12,0,3,0,2,4
lmstudio_model_cache.py,scripts/providers/lmstudio_model_cache.py,lmstudio_model,4,6,MidTier,3,0,2,0,1,0
orchestration_runner.py,scripts/benchmarks/orchestration_runner.py,orchestration_runner,6,6,MidTier,7,1,1,0,2,11
prototype_model_selector.py,scripts/benchmarks/prototype_model_selector.py,model_selector,6,6,MidTier,4,1,3,0,1,10
publish_products_to_gitea.py,scripts/gitea/publish_products_to_gitea.py,products_to,6,6,MidTier,7,2,0,5,1,19
quant_frontier_explorer.py,scripts/quant/quant_frontier_explorer.py,quant_frontier,6,6,MidTier,5,2,2,1,4,10
quant_sweep_kpi_report.py,scripts/quant/quant_sweep_kpi_report.py,quant_sweep,7,6,MidTier,6,3,2,1,1,11
render_explorer_check_digest.py,scripts/explorer/render_explorer_check_digest.py,explorer_check,6,6,MidTier,4,2,2,0,2,10
render_quant_sweep_report.py,scripts/quant/render_quant_sweep_report.py,quant_sweep,5,6,MidTier,3,0,2,1,1,10
report_live_acceptance_patterns.py,scripts/acceptance/report_live_acceptance_patterns.py,live_acceptance,6,6,MidTier,7,0,4,0,15,12
run_benchmark_suite.py,scripts/benchmarks/run_benchmark_suite.py,benchmark_suite,6,6,MidTier,5,2,2,0,4,10
run_context_sweep.py,scripts/context/run_context_sweep.py,context_sweep,7,6,MidTier,6,2,3,1,6,10
run_live_acceptance_loop.py,scripts/acceptance/run_live_acceptance_loop.py,live_acceptance,6,6,MidTier,6,0,6,0,14,12
run_model_streaming_gate.py,scripts/streaming/run_model_streaming_gate.py,model_streaming,6,6,MidTier,6,1,0,4,6,3
run_quant_sweep.py,scripts/quant/run_quant_sweep.py,quant_sweep,10,6,MidTier,22,4,12,4,15,0
run_quant_sweep_series.py,scripts/quant/run_quant_sweep_series.py,quant_sweep,4,6,MidTier,2,0,2,0,1,0
sync_published_index.py,scripts/governance/sync_published_index.py,published_index,6,6,MidTier,7,0,0,5,1,4
thermal_stability_profiler.py,scripts/quant/thermal_stability_profiler.py,thermal_stability,6,6,MidTier,4,2,1,1,4,10
build_explorer_artifact_index.py,scripts/explorer/build_explorer_artifact_index.py,explorer_artifact,5,5,MidTier,3,2,1,0,1,10
check_policy_release_gate.py,scripts/security/check_policy_release_gate.py,policy_release,5,5,MidTier,3,0,3,0,1,16
check_roadmap_metrics.py,scripts/governance/check_roadmap_metrics.py,roadmap_metrics,5,5,MidTier,2,2,0,0,3,18
check_security_enforcement_flip_gate.py,scripts/security/check_security_enforcement_flip_gate.py,security_enforcement,5,5,MidTier,5,0,2,3,1,1
check_skill_contracts.py,scripts/governance/check_skill_contracts.py,skill_contracts,5,5,MidTier,3,1,2,0,1,10
cleanup_published_projects.py,scripts/governance/cleanup_published_projects.py,published_projects,5,5,MidTier,4,1,0,3,1,19
export_security_compat_warnings.py,scripts/security/export_security_compat_warnings.py,security_compat,5,5,MidTier,5,0,2,3,1,1
gen_kernel_compare_fixture.py,scripts/governance/gen_kernel_compare_fixture.py,kernel_compare,5,5,MidTier,3,0,2,1,1,8
live_card_benchmark_runner.py,scripts/benchmarks/live_card_benchmark_runner.py,live_card,7,5,MidTier,52,1,2,0,11,10
live_rock_benchmark_runner.py,scripts/benchmarks/live_rock_benchmark_runner.py,live_rock,6,5,MidTier,16,0,0,0,3,11
report_benchmark_trends.py,scripts/benchmarks/report_benchmark_trends.py,benchmark_trends,5,5,MidTier,3,1,2,0,2,14
run_live_card_benchmark_suite.py,scripts/benchmarks/run_live_card_benchmark_suite.py,live_card,3,5,MidTier,1,0,1,0,2,11
run_live_rock_benchmark_suite.py,scripts/benchmarks/run_live_rock_benchmark_suite.py,live_rock,3,5,MidTier,1,0,0,0,2,11
run_migrations.py,scripts/governance/run_migrations.py,migrations,5,5,MidTier,3,1,0,1,3,17
run_monolith_variant_matrix.py,scripts/acceptance/run_monolith_variant_matrix.py,monolith_variant,5,5,MidTier,4,1,2,0,1,16
run_textmystery_policy_conformance.py,scripts/extensions/run_textmystery_policy_conformance.py,textmystery_policy,5,5,MidTier,4,0,2,2,1,3
score_benchmark_run.py,scripts/benchmarks/score_benchmark_run.py,benchmark_run,5,5,MidTier,5,0,2,0,4,11
security_canary.py,scripts/security/security_canary.py,security_canary,5,5,MidTier,5,0,0,4,1,18
sidecar_probe.py,scripts/quant/sidecar_probe.py,sidecar_probe,5,5,MidTier,5,1,1,0,1,10
build_benchmark_leaderboard.py,scripts/benchmarks/build_benchmark_leaderboard.py,benchmark_leaderboard,4,4,MidTier,2,1,1,0,1,14
check_docs_project_hygiene.py,scripts/governance/check_docs_project_hygiene.py,project_hygiene,4,4,MidTier,2,1,0,1,1,2
check_gitea_state_hardening.py,scripts/gitea/check_gitea_state_hardening.py,gitea_state,5,4,MidTier,4,1,1,0,1,16
check_gitea_state_phase3_readiness.py,scripts/gitea/check_gitea_state_phase3_readiness.py,gitea_state,5,4,MidTier,4,1,1,0,3,16
check_gitea_state_pilot_readiness.py,scripts/gitea/check_gitea_state_pilot_readiness.py,gitea_state,5,4,MidTier,4,1,1,0,3,16
check_microservices_unlock.py,scripts/acceptance/check_microservices_unlock.py,microservices_unlock,5,4,MidTier,4,1,2,0,1,16
check_model_provider_preflight.py,scripts/providers/check_model_provider_preflight.py,model_provider,4,4,MidTier,2,0,0,2,3,3
check_monolith_readiness_gate.py,scripts/acceptance/check_monolith_readiness_gate.py,monolith_readiness,4,4,MidTier,2,1,1,0,3,16
evaluate_odr_calibration_bundle.py,scripts/odr/evaluate_odr_calibration_bundle.py,evaluate_odr,4,4,MidTier,2,0,2,0,2,4
generate_odr_role_matrix_index.py,scripts/odr/generate_odr_role_matrix_index.py,odr_role,6,4,MidTier,10,0,2,0,5,4
play_lie_detector.py,scripts/extensions/play_lie_detector.py,lie_detector,4,4,MidTier,3,0,0,2,1,1
register_meta_breaker_extension.py,scripts/extensions/register_meta_breaker_extension.py,meta_breaker,5,4,MidTier,4,0,3,1,2,3
register_textmystery_bridge_extension.py,scripts/extensions/register_textmystery_bridge_extension.py,textmystery_bridge,5,4,MidTier,4,0,2,2,4,2
release_smoke.py,scripts/governance/release_smoke.py,smoke,4,4,MidTier,3,0,0,3,3,18
render_benchmark_dashboard.py,scripts/benchmarks/render_benchmark_dashboard.py,benchmark_dashboard,4,4,MidTier,2,1,1,0,2,14
replay_comparator.py,scripts/replay/replay_comparator.py,replay_comparator,4,4,MidTier,3,0,0,3,2,2
report_failure_modes.py,scripts/replay/report_failure_modes.py,failure_modes,4,4,MidTier,3,0,0,2,1,18
run_arbiter.py,scripts/odr/run_arbiter.py,arbiter,4,4,MidTier,2,0,2,0,3,4
run_architecture_pilot_matrix.py,scripts/acceptance/run_architecture_pilot_matrix.py,architecture_pilot,4,4,MidTier,2,1,1,0,2,16
run_cli_regression_smoke.py,scripts/governance/run_cli_regression_smoke.py,cli_regression,4,4,MidTier,3,0,0,3,1,6
run_extension_workload_baseline.py,scripts/extensions/run_extension_workload_baseline.py,extension_workload,4,4,MidTier,2,0,1,1,1,3
run_gitea_state_rollout_gates.py,scripts/gitea/run_gitea_state_rollout_gates.py,gitea_state,2,4,MidTier,0,0,0,0,1,16
run_gitea_state_worker_coordinator.py,scripts/gitea/run_gitea_state_worker_coordinator.py,gitea_state,2,4,MidTier,0,0,0,0,2,16
run_meta_breaker_scenarios.py,scripts/extensions/run_meta_breaker_scenarios.py,meta_breaker,4,4,MidTier,2,0,1,1,1,3
run_meta_breaker_workload.py,scripts/extensions/run_meta_breaker_workload.py,meta_breaker,3,4,MidTier,1,0,0,1,1,3
run_microservices_unlock_evidence.py,scripts/acceptance/run_microservices_unlock_evidence.py,microservices_unlock,2,4,MidTier,0,0,0,0,2,16
run_nervous_system_attack_torture_pack.py,scripts/nervous_system/run_nervous_system_attack_torture_pack.py,nervous_system,3,4,MidTier,1,0,1,0,1,0
run_nervous_system_live_evidence.py,scripts/nervous_system/run_nervous_system_live_evidence.py,nervous_system,4,4,MidTier,3,0,1,2,1,0
run_odr_quant_sweep.py,scripts/odr/run_odr_quant_sweep.py,odr_quant,5,4,MidTier,4,0,4,0,4,4
run_odr_role_matrix.py,scripts/odr/run_odr_role_matrix.py,odr_role,2,4,MidTier,0,0,0,0,1,6
run_security_regression_suite.py,scripts/security/run_security_regression_suite.py,security_regression,4,4,MidTier,2,0,0,2,1,1
run_stream_scenario.py,scripts/streaming/run_stream_scenario.py,stream_scenario,4,4,MidTier,2,0,0,2,7,3
run_textmystery_bridge_workload.py,scripts/extensions/run_textmystery_bridge_workload.py,textmystery_bridge,4,4,MidTier,2,0,0,2,2,3
run_textmystery_easy_smoke.py,scripts/extensions/run_textmystery_easy_smoke.py,textmystery_easy,4,4,MidTier,3,0,0,3,3,3
update_nervous_system_policy_digest_snapshot.py,scripts/nervous_system/update_nervous_system_policy_digest_snapshot.py,nervous_system,5,4,MidTier,3,1,2,0,2,0
workitem_migration_dry_run.py,scripts/governance/workitem_migration_dry_run.py,migration_dry,4,4,MidTier,3,0,1,2,1,6
